Time	PPG1
0	1994
0.008	1860
0.016	1731
0.024	1613
0.032	1507
0.04	1415
0.048	1340
0.056	1281
0.064	1239
0.072	1212
0.08	1196
0.088	1190
0.096	1191
0.104	1197
0.112	1205
0.12	1212
0.128	1217
0.136	1221
0.144	1223
0.152	1222
0.16	1218
0.168	1213
0.176	1206
0.184	1195
0.192	1181
0.2	1164
0.208	1144
0.216	1122
0.224	1099
0.232	1076
0.24	1052
0.248	1029
0.256	1009
0.264	992
0.272	978
0.28	970
0.288	973
0.296	993
0.304	1036
0.312	1108
0.32	1213
0.328	1352
0.336	1518
0.344	1703
0.352	1896
0.36	2082
0.368	2250
0.376	2390
0.384	2494
0.392	2558
0.4	2581
0.408	2565
0.416	2514
0.424	2433
0.432	2330
0.44	2211
0.448	2084
0.456	1954
0.464	1829
0.472	1714
0.48	1611
0.488	1524
0.496	1451
0.504	1395
0.512	1354
0.52	1325
0.528	1308
0.536	1300
0.544	1300
0.552	1305
0.56	1313
0.568	1321
0.576	1328
0.584	1332
0.592	1334
0.6	1335
0.608	1334
0.616	1329
0.624	1321
0.632	1308
0.64	1292
0.648	1273
0.656	1251
0.664	1230
0.672	1209
0.68	1187
0.688	1164
0.696	1139
0.704	1114
0.712	1090
0.72	1069
0.728	1055
0.736	1055
0.744	1077
0.752	1127
0.76	1212
0.768	1397
0.776	1652
0.784	1893
0.792	2130
0.8	2357
0.808	2567
0.816	2749
0.824	2893
0.832	2993
0.84	3047
0.848	3057
0.856	3026
0.864	2957
0.872	2858
0.88	2736
0.888	2599
0.896	2454
0.904	2307
0.912	2166
0.92	2035
0.928	1920
0.936	1823
0.944	1745
0.952	1684
0.96	1638
0.968	1606
0.976	1586
0.984	1576
0.992	1572
1	1570
1.008	1569
1.016	1568
1.024	1565
1.032	1561
1.04	1554
1.048	1544
1.056	1531
1.064	1516
1.072	1499
1.08	1480
1.088	1458
1.096	1434
1.104	1408
1.112	1379
1.12	1349
1.128	1320
1.136	1291
1.144	1263
1.152	1235
1.16	1208
1.168	1182
1.176	1161
1.184	1152
1.192	1161
1.2	1199
1.208	1273
1.216	1386
1.224	1537
1.232	1721
1.24	1926
1.248	2136
1.256	2335
1.264	2512
1.272	2655
1.28	2756
1.288	2811
1.296	2822
1.304	2789
1.312	2719
1.32	2620
1.328	2499
1.336	2364
1.344	2219
1.352	2073
1.36	1932
1.368	1800
1.376	1682
1.384	1581
1.392	1498
1.4	1430
1.408	1378
1.416	1342
1.424	1319
1.432	1306
1.44	1300
1.448	1299
1.456	1301
1.464	1304
1.472	1307
1.48	1310
1.488	1311
1.496	1312
1.504	1310
1.512	1304
1.52	1294
1.528	1280
1.536	1263
1.544	1244
1.552	1223
1.56	1202
1.568	1178
1.576	1153
1.584	1128
1.592	1102
1.6	1077
1.608	1054
1.616	1032
1.624	1013
1.632	1003
1.64	1007
1.648	1030
1.656	1079
1.664	1162
1.672	1279
1.68	1429
1.688	1604
1.696	1792
1.704	1982
1.712	2161
1.72	2317
1.728	2439
1.736	2520
1.744	2557
1.752	2554
1.76	2513
1.768	2440
1.776	2341
1.784	2224
1.792	2095
1.8	1964
1.808	1836
1.816	1715
1.824	1606
1.832	1511
1.84	1431
1.848	1367
1.856	1320
1.864	1287
1.872	1267
1.88	1256
1.888	1252
1.896	1254
1.904	1259
1.912	1266
1.92	1273
1.928	1280
1.936	1285
1.944	1289
1.952	1291
1.96	1290
1.968	1285
1.976	1277
1.984	1264
1.992	1246
2	1225
2.008	1203
2.016	1181
2.024	1159
2.032	1136
2.04	1112
2.048	1089
2.056	1068
2.064	1047
2.072	1029
2.08	1017
2.088	1017
2.096	1035
2.104	1077
2.112	1150
2.12	1257
2.128	1398
2.136	1565
2.144	1749
2.152	1939
2.16	2122
2.168	2283
2.176	2413
2.184	2505
2.192	2555
2.2	2563
2.208	2532
2.216	2466
2.224	2373
2.232	2260
2.24	2134
2.248	2005
2.256	1878.99999999999
2.264	1759.99999999999
2.272	1650.99999999999
2.28	1557
2.288	1480
2.296	1417
2.304	1370
2.312	1339
2.32	1321
2.328	1312
2.336	1310
2.344	1313
2.352	1319
2.36	1326
2.368	1333
2.376	1340
2.384	1344
2.392	1345
2.4	1342
2.408	1334
2.416	1324
2.424	1313
2.432	1300
2.44	1283
2.448	1265
2.456	1245
2.464	1224
2.472	1203
2.48	1183
2.488	1162
2.496	1139
2.504	1117
2.512	1097
2.52	1080
2.528	1069
2.536	1071
2.544	1092
2.552	1138
2.56	1215
2.568	1329
2.576	1478
2.584	1654
2.592	1849
2.6	2050
2.608	2241
2.616	2410
2.624	2545
2.632	2641
2.64	2694
2.648	2703
2.656	2672
2.664	2606
2.672	2513
2.68	2402
2.688	2278
2.696	2148
2.704	2019
2.712	1897
2.72	1786
2.728	1688
2.736	1606
2.744	1540
2.752	1489
2.76	1453
2.768	1430
2.776	1418
2.784	1415
2.792	1419
2.8	1428
2.808	1438
2.816	1470
2.824	1511
2.832	1532
2.84	1542
2.848	1546
2.856	1545
2.864	1541
2.872	1535
2.88	1527
2.888	1516
2.896	1502
2.904	1486
2.912	1468
2.92	1450
2.928	1433
2.936	1417
2.944	1400
2.952	1382
2.96	1365
2.968	1350
2.976	1340
2.984	1341
2.992	1360
3	1403
3.008	1477
3.016	1583
3.024	1720
3.032	1882
3.04	2059
3.048	2238
3.056	2403
3.064	2546
3.072	2658
3.08	2733
3.088	2771
3.096	2774
3.104	2745
3.112	2690
3.12	2613
3.128	2522
3.136	2421
3.144	2316
3.152	2210
3.16	2108
3.168	2015
3.176	1934
3.184	1863
3.192	1805
3.2	1760
3.208	1726
3.216	1703
3.224	1689
3.232	1681
3.24	1677
3.248	1676
3.256	1676
3.264	1677
3.272	1678
3.28	1677
3.288	1675
3.296	1671
3.304	1664
3.312	1654
3.32	1642
3.328	1628
3.336	1614
3.344	1599
3.352	1583
3.36	1565
3.368	1547
3.376	1530
3.384	1512
3.392	1492
3.4	1470
3.408	1448
3.416	1428
3.424	1412
3.432	1404
3.44	1411
3.448	1441
3.456	1499
3.464	1590
3.472	1715
3.48	1869
3.488	2042
3.496	2221
3.504	2392
3.512	2542
3.52	2662
3.528	2745
3.536	2790
3.544	2798
3.552	2773
3.56	2721
3.568	2647
3.576	2556
3.584	2454
3.592	2345
3.6	2234
3.608	2124
3.616	2020
3.624	1928
3.632	1848
3.64	1781
3.648	1728
3.656	1687
3.664	1658
3.672	1638
3.68	1626
3.688	1619
3.696	1616
3.704	1613
3.712	1610
3.72	1605
3.728	1598
3.736	1587
3.744	1574
3.752	1558
3.76	1541
3.768	1525
3.776	1509
3.784	1491
3.792	1471
3.8	1451
3.808	1431
3.816	1411
3.824	1391
3.832	1371
3.84	1352
3.848	1333
3.856	1315
3.864	1297
3.872	1278
3.88	1260
3.888	1249
3.896	1251
3.904	1273
3.912	1321
3.92	1398
3.928	1505
3.936	1640
3.944	1794
3.952	1957
3.96	2116
3.968	2258
3.976	2375
3.984	2461
3.992	2512
4	2526
4.008	2506
4.016	2458
4.024	2389
4.032	2303
4.04	2206
4.048	2105
4.056	2004
4.064	1905
4.072	1814
4.08	1732
4.088	1660
4.096	1601
4.104	1555
4.112	1520
4.12	1495
4.128	1479
4.136	1470
4.144	1466
4.152	1466
4.16	1468
4.168	1470
4.176	1471
4.184	1472
4.192	1470
4.2	1466
4.208	1460
4.216	1452
4.224	1443
4.232	1433
4.24	1422
4.248	1409
4.256	1395
4.264	1379
4.272	1362
4.28	1345
4.288	1329
4.296	1311
4.304	1291
4.312	1271
4.32	1251
4.328	1233
4.336	1220
4.344	1214
4.352	1219
4.36	1242
4.368	1287
4.376	1358
4.384	1455
4.392	1578
4.4	1720
4.408	1871
4.416	2022
4.424	2162
4.432	2280
4.44	2368
4.448	2424
4.456	2447
4.464	2437
4.472	2397
4.48	2335
4.488	2256
4.496	2165
4.504	2068.99999999999
4.512	1970.99999999999
4.52	1876.99999999999
4.528	1789.99999999999
4.536	1710.99999999999
4.544	1643.99999999999
4.552	1588.99999999999
4.56	1548
4.568	1519
4.576	1500
4.584	1489
4.592	1486
4.6	1487
4.608	1492
4.616	1498
4.624	1505
4.632	1513
4.64	1519
4.648	1521
4.656	1520
4.664	1516
4.672	1509
4.68	1500
4.688	1487
4.696	1472
4.704	1456
4.712	1440
4.72	1423
4.728	1406
4.736	1389
4.744	1372
4.752	1353
4.76	1335
4.768	1318
4.776	1302
4.784	1288
4.792	1278
4.8	1276
4.808	1287
4.816	1317
4.824	1370
4.832	1450
4.84	1558
4.848	1691
4.856	1842
4.864	2012
4.872	2188
4.88	2344
4.888	2472
4.896	2565
4.904	2620
4.912	2636
4.92	2616
4.928	2566
4.936	2492
4.944	2401
4.952	2301
4.96	2196
4.968	2090
4.976	1987
4.984	1891
4.992	1804
5	1728
5.008	1666
5.016	1619
5.024	1585
5.032	1562
5.04	1549
5.048	1545
5.056	1548
5.064	1554
5.072	1561
5.08	1568
5.088	1573
5.096	1577
5.104	1577
5.112	1573
5.12	1567
5.128	1557
5.136	1543
5.144	1528
5.152	1511
5.16	1493
5.168	1475
5.176	1456
5.184	1435
5.192	1417
5.2	1401
5.208	1385
5.216	1369
5.224	1353
5.232	1337
5.24	1321
5.248	1309
5.256	1307
5.264	1321
5.272	1358
5.28	1424
5.288	1525
5.296	1659
5.304	1821
5.312	2002
