Time	PPG1
0	1911
0.008	2099
0.016	2284
0.024	2453
0.032	2599
0.04	2714
0.048	2793
0.056	2836
0.064	2843
0.072	2819
0.08	2767
0.088	2693
0.096	2603
0.104	2502
0.112	2395
0.12	2286
0.128	2177
0.136	2073
0.144	1975
0.152	1886
0.16	1806
0.168	1737
0.176	1682
0.184	1639
0.192	1590
0.2	1541
0.208	1514
0.216	1499
0.224	1492
0.232	1487
0.24	1483
0.248	1478
0.256	1470
0.264	1460
0.272	1449
0.28	1438
0.288	1425
0.296	1410
0.304	1392
0.312	1372
0.32	1349
0.328	1325
0.336	1300
0.344	1273
0.352	1246
0.36	1220
0.368	1197
0.376	1176
0.384	1155
0.392	1136
0.4	1119
0.408	1105
0.416	1096
0.424	1098
0.432	1118
0.44	1161
0.448	1231
0.456	1329
0.464	1454
0.472	1601
0.48	1763
0.488	1929
0.496	2088
0.504	2228
0.512	2343
0.52	2430
0.528	2485
0.536	2509
0.544	2501
0.552	2465
0.56	2407
0.568	2331
0.576	2242
0.584	2144
0.592	2042
0.6	1941
0.608	1844
0.616	1752
0.624	1670
0.632	1600
0.64	1541
0.648	1493
0.656	1456
0.664	1429
0.672	1412
0.68	1402
0.688	1397
0.696	1396
0.704	1397
0.712	1400
0.72	1402
0.728	1403
0.736	1404
0.744	1403
0.752	1400
0.76	1393
0.768	1384
0.776	1371
0.784	1355
0.792	1337
0.8	1318
0.808	1297
0.816	1275
0.824	1252
0.832	1228
0.84	1205
0.848	1185
0.856	1166
0.864	1147
0.872	1131
0.88	1120
0.888	1117
0.896	1129
0.904	1162
0.912	1220
0.92	1308
0.928	1425
0.936	1569
0.944	1733
0.952	1906
0.96	2077
0.968	2236
0.976	2374
0.984	2485
0.992	2565
1	2611
1.008	2623
1.016	2603
1.024	2555
1.032	2486
1.04	2401
1.048	2306
1.056	2203
1.064	2098
1.072	1994
1.08	1894
1.088	1802
1.096	1721
1.104	1652
1.112	1595
1.12	1551
1.128	1518
1.136	1495
1.144	1482
1.152	1476
1.16	1475
1.168	1478
1.176	1482
1.184	1486
1.192	1489
1.2	1489
1.208	1485
1.216	1478
1.224	1467
1.232	1454
1.24	1439
1.248	1423
1.256	1404
1.264	1382
1.272	1359
1.28	1337
1.288	1316
1.296	1295
1.304	1275
1.312	1255
1.32	1236
1.328	1218
1.336	1204
1.344	1196
1.352	1196
1.36	1212
1.368	1251
1.376	1318
1.384	1415
1.392	1545
1.4	1705
1.408	1886
1.416	2075
1.424	2263
1.432	2438
1.44	2588
1.448	2708
1.456	2794
1.464	2845
1.472	2862
1.48	2845
1.488	2800
1.496	2732
1.504	2647
1.512	2551
1.52	2450
1.528	2346
1.536	2241
1.544	2140
1.552	2045
1.56	1959
1.568	1885
1.576	1824
1.584	1774
1.592	1737
1.6	1712
1.608	1696
1.616	1689
1.624	1687
1.632	1686
1.64	1685
1.648	1684
1.656	1681
1.664	1678
1.672	1673
1.68	1666
1.688	1656
1.696	1643
1.704	1628
1.712	1611
1.72	1593
1.728	1576
1.736	1559
1.744	1541
1.752	1521
1.76	1499
1.768	1475
1.776	1450
1.784	1425
1.792	1401
1.8	1379
1.808	1362
1.816	1355
1.824	1367
1.832	1403
1.84	1468
1.848	1567
1.856	1702
1.864	1866
1.872	2051
1.88	2247.00000000001
1.888	2441.00000000001
1.896	2620
1.904	2774
1.912	2896
1.92	2981
1.928	3029
1.936	3042
1.944	3023
1.952	2976
1.96	2905
1.968	2816
1.976	2712
1.984	2600
1.992	2486
2	2374
2.008	2266
2.016	2167
2.024	2081
2.032	2008
2.04	1948
2.048	1901
2.056	1866
2.064	1840
2.072	1822
2.08	1810
2.088	1803
2.096	1799
2.104	1795
2.112	1790
2.12	1783
2.128	1774
2.136	1760
2.144	1743
2.152	1724
2.16	1703
2.168	1682
2.176	1658
2.184	1632
2.192	1604
2.2	1577
2.208	1552
2.216	1525
2.224	1497
2.232	1469
2.24	1429
2.248	1382
2.256	1344
2.264	1311
2.272	1285
2.28	1270
2.288	1270
2.296	1291
2.304	1339
2.312	1420
2.32	1536
2.328	1683
2.336	1854
2.344	2039
2.352	2228
2.36	2406
2.368	2562
2.376	2689
2.384	2782
2.392	2837
