Time	PPG1
0	1346
0.008	1440
0.016	1560
0.024	1699
0.032	1851
0.04	2008
0.048	2162
0.056	2304
0.064	2423
0.072	2517
0.08	2584
0.088	2620
0.096	2626
0.104	2605
0.112	2562
0.12	2500
0.128	2425
0.136	2340
0.144	2248
0.152	2155
0.16	2063
0.168	1973
0.176	1889
0.184	1812
0.192	1741
0.2	1681
0.208	1633
0.216	1595
0.224	1567
0.232	1548
0.24	1536
0.248	1530
0.256	1527
0.264	1526
0.272	1525
0.28	1524
0.288	1519
0.296	1511
0.304	1502
0.312	1492
0.32	1480
0.328	1468
0.336	1457
0.344	1444
0.352	1428
0.36	1411
0.368	1393
0.376	1373
0.384	1353
0.392	1334
0.4	1315
0.408	1297
0.416	1278
0.424	1260
0.432	1244
0.44	1231
0.448	1227
0.456	1234
0.464	1256
0.472	1299
0.48	1367
0.488	1461
0.496	1579
0.504	1717
0.512	1869
0.52	2027
0.528	2181
0.536	2323
0.544	2445
0.552	2542
0.56	2612
0.568	2654
0.576	2668
0.584	2654
0.592	2614
0.6	2553
0.608	2477
0.616	2389
0.624	2295
0.632	2200
0.64	2104
0.648	2012
0.656	1929
0.664	1854
0.672	1787
0.68	1731
0.688	1684
0.696	1647
0.704	1620
0.712	1600
0.72	1587
0.728	1581
0.736	1580
0.744	1581
0.752	1584
0.76	1588
0.768	1590
0.776	1588
0.784	1584
0.792	1577
0.8	1567
0.808	1555
0.816	1542
0.824	1526
0.832	1508
0.84	1490
0.848	1472
0.856	1453
0.864	1434
0.872	1413
0.88	1392
0.888	1370
0.896	1349
0.904	1330
0.912	1313
0.92	1304
0.928	1305
0.936	1322
0.944	1359
0.952	1421
0.96	1510
0.968	1627
0.976	1770
0.984	1931
0.992	2102
1	2272
1.008	2435
1.016	2582
1.024	2705
1.032	2802
1.04	2867
1.048	2900
1.056	2872
1.064	2802
1.072	2731
1.08	2653
1.088	2565
1.096	2469
1.104	2368
1.112	2266
1.12	2168
1.128	2074
1.136	1985
1.144	1904
1.152	1833
1.16	1775
1.168	1729
1.176	1695
1.184	1672
1.192	1657
1.2	1648
1.208	1642
1.216	1639
1.224	1638
1.232	1636
