Time	PPG1
3.656	2164
3.664	2351
3.672	2529
3.68	2686
3.688	2811
3.696	2907
3.704	2978
3.712	3017
3.72	3026
3.728	3011
3.736	2979
3.744	2932
3.752	2872
3.76	2803
3.768	2730
3.776	2651
3.784	2565.99999999999
3.792	2475.99999999999
3.8	2383.99999999999
3.808	2287.99999999999
3.816	2187.99999999999
3.824	2087.99999999999
3.832	1989.99999999999
3.84	1896
3.848	1808
3.856	1726
3.864	1652
3.872	1589
3.88	1539
3.888	1499
3.896	1470
3.904	1451
3.912	1443
3.92	1445
3.928	1453
3.936	1465
3.944	1481
3.952	1501
3.96	1522
3.968	1542
3.976	1561
3.984	1579
3.992	1594
4	1604
4.008	1609
4.016	1611
4.024	1611
4.032	1607
4.04	1598
4.048	1586
4.056	1573
4.064	1559
4.072	1543
4.08	1525
4.088	1507
4.096	1490
4.104	1473
4.112	1457
4.12	1441
4.128	1426
4.136	1410
4.144	1394
4.152	1380
4.16	1366
4.168	1352
4.176	1339
4.184	1327
4.192	1316
4.2	1304
4.208	1291
4.216	1280
4.224	1269
4.232	1258
4.24	1247
4.248	1237
4.256	1227
4.264	1216
4.272	1203
4.28	1191
4.288	1180
4.296	1173
4.304	1174
4.312	1186
4.32	1219
4.328	1284
4.336	1376
4.344	1495
4.352	1646
4.36	1822
4.368	2014
4.376	2212
4.384	2407
4.392	2585
4.4	2742
4.408	2875
4.416	2976
4.424	3040
4.432	3076
4.44	3087
4.448	3072
4.456	3035
4.464	2984
4.472	2922
4.48	2850
4.488	2770
4.496	2686
4.504	2598.99999999999
4.512	2507.99999999999
4.52	2410.99999999999
4.528	2310.99999999999
4.536	2209.99999999999
4.544	2107.99999999999
4.552	2006.99999999999
4.56	1909.99999999999
4.568	1818.99999999999
4.576	1736.99999999999
4.584	1664.99999999999
4.592	1602.99999999999
4.6	1550.99999999999
4.608	1509
4.616	1479
4.624	1460
4.632	1450
4.64	1451
4.648	1461
4.656	1477
4.664	1498
4.672	1521
4.68	1544
4.688	1565
4.696	1586
4.704	1604
4.712	1617
4.72	1627
4.728	1634
4.736	1637
4.744	1637
4.752	1633
4.76	1626
4.768	1615
4.776	1601
4.784	1585
4.792	1569
4.8	1553
4.808	1536
4.816	1517
4.824	1500
4.832	1484
4.84	1467
4.848	1451
4.856	1436
4.864	1420
4.872	1405
4.88	1392
4.888	1379
4.896	1366
4.904	1352
4.912	1339
4.92	1328
4.928	1317
4.936	1306
4.944	1294
4.952	1282
4.96	1270
4.968	1259
4.976	1249
4.984	1237
4.992	1224
5	1212
5.008	1203
5.016	1200
5.024	1207
5.032	1236
5.04	1286
5.048	1359
5.056	1466
5.064	1609
5.072	1778
5.08	1962
5.088	2159
5.096	2355
5.104	2543
5.112	2715
5.12	2859
5.128	2968
5.136	3047
5.144	3100
5.152	3120
5.16	3110
5.168	3078
5.176	3032
5.184	2973
5.192	2903
5.2	2826
5.208	2743
5.216	2655
5.224	2562
5.232	2463
5.24	2361
5.248	2257
5.256	2152
5.264	2047
5.272	1946
5.28	1850
5.288	1762
5.296	1682
5.304	1612
5.312	1553
5.32	1508
5.328	1474
5.336	1449
5.344	1437
5.352	1436
5.36	1441
5.368	1452
5.376	1468
5.384	1488
5.392	1511
5.4	1534
5.408	1554
5.416	1572
5.424	1587
5.432	1600
5.44	1608
5.448	1610
5.456	1608
5.464	1603
5.472	1596
5.48	1585
5.488	1572
5.496	1557
5.504	1541
5.512	1524
5.52	1506
5.528	1488
5.536	1469
5.544	1450
5.552	1431
5.56	1415
5.568	1400
5.576	1383
5.584	1367
5.592	1353
5.6	1340
5.608	1327
5.616	1314
5.624	1301
5.632	1289
5.64	1275
5.648	1261
5.656	1249
5.664	1238
5.672	1225
5.68	1212
5.688	1200
5.696	1189
5.704	1178
5.712	1166
5.72	1156
5.728	1151
5.736	1159
5.744	1181
5.752	1220
5.76	1287
5.768	1392
5.776	1527
5.784	1685
5.792	1867
5.8	2063
5.808	2262
5.816	2454
5.824	2629
5.832	2777
5.84	2897
5.848	2989
5.856	3047
5.864	3070
5.872	3066
5.88	3042
5.888	2997
5.896	2937
5.904	2867
5.912	2791
5.92	2708
5.928	2617
5.936	2522
5.944	2423
5.952	2321
5.96	2214
5.968	2105
5.976	1999
